u,z
5,-6.34279179209883
-5,-4.13077624550727
5,-5.16531588089843
5,-2.0255573442551
-5,8.93228700999107
5,9.58394388940314
-5,14.1997346749724
-5,8.91459034138728
5,-1.05006697762635
-5,-7.47429975820011
-5,-11.3718353546444
-5,-19.6160130843693
5,-29.5085516906037
-5,-27.8233352990259
-5,-23.7915581252354
5,-22.1580832462972
5,-16.219614970826
-5,0.933078241399636
-5,8.75844589248734
5,3.6714190059921
-5,4.20653172974025
5,0.519072079600827
-5,-0.49802718388413
5,-3.06686737975517
-5,-3.21047634894211
-5,-3.2705130285371
-5,-12.8001481150658
-5,-21.5695850103668
-5,-30.6762664908093
-5,-40.7015232154104
5,-46.9675150381284
5,-36.2053791548432
5,-17.8172430376538
5,7.366920984793
5,31.3462734278814
-5,49.7530420383642
5,50.1505056382952
5,42.2111036569967
5,36.1093748001897
5,32.6705663393558
-5,28.8148171304416
-5,20.2226483150368
5,1.62606749418266
5,-7.99138568578561
5,-7.62919418092955
-5,2.23866954213563
5,6.98828698607581
-5,10.6717495906318
5,7.45054088828235
5,9.14671392784436
-5,13.1439957135559
-5,14.235237768333
-5,1.7380532165033
-5,-14.4039549109699
5,-29.4761262071202
-5,-31.5699164862024
5,-30.8866315074078
5,-18.891177715274
5,-1.94787349380053
-5,18.2966423694002
-5,26.6045957417224
-5,21.3218255081003
5,0.431762729827308
5,-7.72676863310928
-5,-3.80690308821907
5,-3.08243816153014
5,-1.09168824613786
-5,8.34074630530366
5,10.8687834871147
-5,12.4337113549482
-5,9.79723727530393
5,-1.96086636433362
-5,-8.31762446099446
-5,-13.8702558400357
-5,-20.7697335154144
5,-32.6801538108152
-5,-27.560670770756
-5,-23.6106986274448
5,-22.6912162675909
5,-16.2514020487474
-5,0.408957470589959
-5,9.28693505098928
5,4.63219201835912
-5,3.51938592220798
5,-0.133382814531087
-5,-0.731006476335675
5,-0.98961990334468
-5,-2.73366799067329
-5,-1.69144585703009
-5,-12.037523350152
-5,-20.9877165193928
-5,-32.0883875284104
-5,-38.5806804715188
5,-45.9989396566187
5,-40.1741144315912
5,-15.0737489924652
5,9.63437967813899
5,30.088877340735
-5,49.818307741334
5,49.7951352400523
5,41.512728369748
5,34.8470001032181
5,32.1357049784585
-5,29.6982636598106
-5,21.149534202987
5,1.67767376299103
5,-7.61860216694157
5,-8.04118585348233
-5,3.24786280836546
5,8.20549465597224
-5,11.7594710458542
5,11.3668540018216
5,9.13898480121594
-5,13.6712165297059
-5,12.7848202608588
-5,0.754010715688262
-5,-14.0323313712699
5,-28.8191776444516
-5,-30.8473457456519
5,-29.9182515406987
5,-20.2363056177492
5,-0.537964698263763
-5,21.2596256526113
-5,27.9390094693472
-5,20.4668756471135
5,2.84620655463141
5,-5.39328451962352
-5,-3.21359873048602
5,-2.85712166658474
5,-0.41655518374982
-5,8.93298670657112
5,11.7530787673326
-5,12.3050437352928
-5,9.91396418066205
5,-2.06967944088623
-5,-8.48354774285139
-5,-12.5940210839869
-5,-20.6599429838319
5,-29.076210789716
-5,-27.294976438716
-5,-21.5822247528294
5,-24.3221077374888
5,-16.332390997512
-5,-0.119064837381073
-5,7.64077536868434
5,4.42886974226429
-5,4.64560011883263
5,0.506827876852876
-5,1.4239220115697
5,-1.34085260281194
-5,-1.24090904617581
-5,-1.50115766746752
-5,-9.86198202420879
-5,-21.8395123907083
-5,-31.9744876265698
-5,-40.1907600264608
5,-46.4204740543469
5,-36.8433764215912
5,-17.5740772643473
5,6.6987025728318
5,33.3335808391412
-5,51.1261129486652
5,48.7886687573775
5,41.2413904402576
5,35.5867448914118
5,30.8562708069596
-5,32.2568091918329
-5,19.7072095484369
5,0.725208564198164
5,-8.91151084189822
5,-7.39706443372982
-5,2.78662926292531
5,5.71932185881096
-5,12.1564552536506
5,8.84417091822333
5,8.93765110064298
-5,14.1300025470826
-5,10.5243126197039
-5,1.4166838659147
-5,-14.9094083484726
5,-27.7379719451337
-5,-30.3720297187819
5,-30.3224967390203
5,-20.9159638111316
5,-1.60506705946957
-5,19.19925374934
-5,28.2457125257352
-5,20.9669186243505
5,3.30742697980377
5,-5.23095487862915
-5,-4.46684064201116
